Term,Definition
ziarah,grave visit
ditutup,closed
perayaan,celebration
kebersamaan,togetherness
perhatian,attention/care
perjalanan,journey
tanda hormat,sign of respect
dibuka,opened
sebaik-baiknya,as well as possible
meminta maaf,ask forgiveness
dilakukan,done/carried out
diucapkan,said/expressed
dipesan,booked
dirayakan,celebrated
perayaan,celebration
sebesar-besarnya,as big/great as possible
persiapan,preparation
perjalanan,journey
mengunjungi,to visit
kebersamaan,togetherness
meminta maaf,ask forgiveness
persiapan,preparation
tanda hormat,sign of respect
ziarah,grave visit
seenak-enaknya,as delicious as possible
sebesar-besarnya,as big/great as possible
dipesan,booked
perjalanan,journey
tersedia,available
diucapkan,said/expressed
perhatian,attention/care
seenak-enaknya,as delicious as possible
perayaan,celebration
kebahagiaan,happiness
disiapkan,prepared
tanda hormat,sign of respect
dipesan,booked
gorden,curtain
sebesar-besarnya,as big/great as possible
dibuka,opened
persiapan,preparation
kebahagiaan,happiness
gorden,curtain
ditutup,closed
dilakukan,done/carried out
mudik,return to hometown
sebaik-baiknya,as well as possible
permintaan,demand
ziarah,grave visit
perhatian,attention/care
seenak-enaknya,as delicious as possible
dirayakan,celebrated
kebersamaan,togetherness
tersedia,available
meminta maaf,ask forgiveness
ditutup,closed
mudik,return to hometown
dilakukan,done/carried out
sebesar-besarnya,as big/great as possible
ditingkatkan,increased
